Unique Identifier,Memory Address (Hex),Memory Address (Dec),Initial Value,Element Type
"STRINGS_STRING_2_NEO_PIXELS_18_GREEN_LEAD_STARTING_CYCLE","0x065D",1629,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_18_GREEN_LEAD_EFFECT","0x065E",1630,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_18_GREEN_LEAD_GROUP","0x065F",1631,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_INTENSITY","0x0660",1632,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_CYCLES_ON","0x0661",1633,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_CYCLES_OFF","0x0662",1634,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_STARTING_CYCLE","0x0663",1635,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_EFFECT","0x0664",1636,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_18_BLUE_LEAD_GROUP","0x0665",1637,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_DESCRIPTION","0x0666",1638,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_INTENSITY","0x067B",1659,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_CYCLES_ON","0x067C",1660,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_CYCLES_OFF","0x067D",1661,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_STARTING_CYCLE","0x067E",1662,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_EFFECT","0x067F",1663,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_19_RED_LEAD_GROUP","0x0680",1664,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_INTENSITY","0x0681",1665,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_CYCLES_ON","0x0682",1666,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_CYCLES_OFF","0x0683",1667,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_STARTING_CYCLE","0x0684",1668,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_EFFECT","0x0685",1669,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_19_GREEN_LEAD_GROUP","0x0686",1670,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_INTENSITY","0x0687",1671,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_CYCLES_ON","0x0688",1672,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_CYCLES_OFF","0x0689",1673,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_STARTING_CYCLE","0x068A",1674,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_EFFECT","0x068B",1675,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_19_BLUE_LEAD_GROUP","0x068C",1676,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_DESCRIPTION","0x068D",1677,"""","string"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_INTENSITY","0x06A2",1698,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_CYCLES_ON","0x06A3",1699,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_CYCLES_OFF","0x06A4",1700,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_STARTING_CYCLE","0x06A5",1701,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_EFFECT","0x06A6",1702,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_20_RED_LEAD_GROUP","0x06A7",1703,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_INTENSITY","0x06A8",1704,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_CYCLES_ON","0x06A9",1705,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_CYCLES_OFF","0x06AA",1706,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_STARTING_CYCLE","0x06AB",1707,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_EFFECT","0x06AC",1708,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_20_GREEN_LEAD_GROUP","0x06AD",1709,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_INTENSITY","0x06AE",1710,"100","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_CYCLES_ON","0x06AF",1711,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_CYCLES_OFF","0x06B0",1712,"5","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_STARTING_CYCLE","0x06B1",1713,"0","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_EFFECT","0x06B2",1714,"1","int"
"STRINGS_STRING_2_NEO_PIXELS_20_BLUE_LEAD_GROUP","0x06B3",1715,"0","int"
"STRINGS_STRING_3_DESCRIPTION","0x06B4",1716,"""","string"
"STRINGS_STRING_3_NUMBER_OF_HEADS","0x06C9",1737,"5","int"
"STRINGS_STRING_3_ALL_ON","0x06CA",1738,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_ALL_OFF","0x06D2",1746,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_ALL_TOGGLE","0x06DA",1754,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_EFFECTS_ON","0x06E2",1762,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_EFFECTS_OFF","0x06EA",1770,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_EFFECTS_TOGGLE","0x06F2",1778,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_DIMMER_TOGGLE","0x06FA",1786,"00.00.00.00.00.00.00.00","eventid"
"STRINGS_STRING_3_NEO_PIXELS_1_DESCRIPTION","0x0702",1794,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_INTENSITY","0x0717",1815,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_CYCLES_ON","0x0718",1816,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_CYCLES_OFF","0x0719",1817,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_STARTING_CYCLE","0x071A",1818,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_EFFECT","0x071B",1819,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_1_RED_LEAD_GROUP","0x071C",1820,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_INTENSITY","0x071D",1821,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_CYCLES_ON","0x071E",1822,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_CYCLES_OFF","0x071F",1823,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_STARTING_CYCLE","0x0720",1824,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_EFFECT","0x0721",1825,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_1_GREEN_LEAD_GROUP","0x0722",1826,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_INTENSITY","0x0723",1827,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_CYCLES_ON","0x0724",1828,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_CYCLES_OFF","0x0725",1829,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_STARTING_CYCLE","0x0726",1830,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_EFFECT","0x0727",1831,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_1_BLUE_LEAD_GROUP","0x0728",1832,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_DESCRIPTION","0x0729",1833,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_INTENSITY","0x073E",1854,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_CYCLES_ON","0x073F",1855,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_CYCLES_OFF","0x0740",1856,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_STARTING_CYCLE","0x0741",1857,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_EFFECT","0x0742",1858,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_2_RED_LEAD_GROUP","0x0743",1859,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_INTENSITY","0x0744",1860,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_CYCLES_ON","0x0745",1861,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_CYCLES_OFF","0x0746",1862,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_STARTING_CYCLE","0x0747",1863,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_EFFECT","0x0748",1864,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_2_GREEN_LEAD_GROUP","0x0749",1865,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_INTENSITY","0x074A",1866,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_CYCLES_ON","0x074B",1867,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_CYCLES_OFF","0x074C",1868,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_STARTING_CYCLE","0x074D",1869,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_EFFECT","0x074E",1870,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_2_BLUE_LEAD_GROUP","0x074F",1871,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_DESCRIPTION","0x0750",1872,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_INTENSITY","0x0765",1893,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_CYCLES_ON","0x0766",1894,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_CYCLES_OFF","0x0767",1895,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_STARTING_CYCLE","0x0768",1896,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_EFFECT","0x0769",1897,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_3_RED_LEAD_GROUP","0x076A",1898,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_INTENSITY","0x076B",1899,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_CYCLES_ON","0x076C",1900,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_CYCLES_OFF","0x076D",1901,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_STARTING_CYCLE","0x076E",1902,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_EFFECT","0x076F",1903,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_3_GREEN_LEAD_GROUP","0x0770",1904,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_INTENSITY","0x0771",1905,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_CYCLES_ON","0x0772",1906,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_CYCLES_OFF","0x0773",1907,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_STARTING_CYCLE","0x0774",1908,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_EFFECT","0x0775",1909,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_3_BLUE_LEAD_GROUP","0x0776",1910,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_DESCRIPTION","0x0777",1911,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_INTENSITY","0x078C",1932,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_CYCLES_ON","0x078D",1933,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_CYCLES_OFF","0x078E",1934,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_STARTING_CYCLE","0x078F",1935,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_EFFECT","0x0790",1936,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_4_RED_LEAD_GROUP","0x0791",1937,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_INTENSITY","0x0792",1938,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_CYCLES_ON","0x0793",1939,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_CYCLES_OFF","0x0794",1940,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_STARTING_CYCLE","0x0795",1941,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_EFFECT","0x0796",1942,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_4_GREEN_LEAD_GROUP","0x0797",1943,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_INTENSITY","0x0798",1944,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_CYCLES_ON","0x0799",1945,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_CYCLES_OFF","0x079A",1946,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_STARTING_CYCLE","0x079B",1947,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_EFFECT","0x079C",1948,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_4_BLUE_LEAD_GROUP","0x079D",1949,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_DESCRIPTION","0x079E",1950,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_INTENSITY","0x07B3",1971,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_CYCLES_ON","0x07B4",1972,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_CYCLES_OFF","0x07B5",1973,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_STARTING_CYCLE","0x07B6",1974,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_EFFECT","0x07B7",1975,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_5_RED_LEAD_GROUP","0x07B8",1976,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_INTENSITY","0x07B9",1977,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_CYCLES_ON","0x07BA",1978,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_CYCLES_OFF","0x07BB",1979,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_STARTING_CYCLE","0x07BC",1980,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_EFFECT","0x07BD",1981,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_5_GREEN_LEAD_GROUP","0x07BE",1982,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_INTENSITY","0x07BF",1983,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_CYCLES_ON","0x07C0",1984,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_CYCLES_OFF","0x07C1",1985,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_STARTING_CYCLE","0x07C2",1986,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_EFFECT","0x07C3",1987,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_5_BLUE_LEAD_GROUP","0x07C4",1988,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_DESCRIPTION","0x07C5",1989,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_INTENSITY","0x07DA",2010,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_CYCLES_ON","0x07DB",2011,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_CYCLES_OFF","0x07DC",2012,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_STARTING_CYCLE","0x07DD",2013,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_EFFECT","0x07DE",2014,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_6_RED_LEAD_GROUP","0x07DF",2015,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_INTENSITY","0x07E0",2016,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_CYCLES_ON","0x07E1",2017,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_CYCLES_OFF","0x07E2",2018,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_STARTING_CYCLE","0x07E3",2019,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_EFFECT","0x07E4",2020,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_6_GREEN_LEAD_GROUP","0x07E5",2021,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_INTENSITY","0x07E6",2022,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_CYCLES_ON","0x07E7",2023,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_CYCLES_OFF","0x07E8",2024,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_STARTING_CYCLE","0x07E9",2025,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_EFFECT","0x07EA",2026,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_6_BLUE_LEAD_GROUP","0x07EB",2027,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_DESCRIPTION","0x07EC",2028,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_INTENSITY","0x0801",2049,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_CYCLES_ON","0x0802",2050,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_CYCLES_OFF","0x0803",2051,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_STARTING_CYCLE","0x0804",2052,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_EFFECT","0x0805",2053,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_7_RED_LEAD_GROUP","0x0806",2054,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_INTENSITY","0x0807",2055,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_CYCLES_ON","0x0808",2056,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_CYCLES_OFF","0x0809",2057,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_STARTING_CYCLE","0x080A",2058,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_EFFECT","0x080B",2059,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_7_GREEN_LEAD_GROUP","0x080C",2060,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_INTENSITY","0x080D",2061,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_CYCLES_ON","0x080E",2062,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_CYCLES_OFF","0x080F",2063,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_STARTING_CYCLE","0x0810",2064,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_EFFECT","0x0811",2065,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_7_BLUE_LEAD_GROUP","0x0812",2066,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_DESCRIPTION","0x0813",2067,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_INTENSITY","0x0828",2088,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_CYCLES_ON","0x0829",2089,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_CYCLES_OFF","0x082A",2090,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_STARTING_CYCLE","0x082B",2091,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_EFFECT","0x082C",2092,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_8_RED_LEAD_GROUP","0x082D",2093,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_INTENSITY","0x082E",2094,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_CYCLES_ON","0x082F",2095,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_CYCLES_OFF","0x0830",2096,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_STARTING_CYCLE","0x0831",2097,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_EFFECT","0x0832",2098,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_8_GREEN_LEAD_GROUP","0x0833",2099,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_INTENSITY","0x0834",2100,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_CYCLES_ON","0x0835",2101,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_CYCLES_OFF","0x0836",2102,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_STARTING_CYCLE","0x0837",2103,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_EFFECT","0x0838",2104,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_8_BLUE_LEAD_GROUP","0x0839",2105,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_DESCRIPTION","0x083A",2106,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_INTENSITY","0x084F",2127,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_CYCLES_ON","0x0850",2128,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_CYCLES_OFF","0x0851",2129,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_STARTING_CYCLE","0x0852",2130,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_EFFECT","0x0853",2131,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_9_RED_LEAD_GROUP","0x0854",2132,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_INTENSITY","0x0855",2133,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_CYCLES_ON","0x0856",2134,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_CYCLES_OFF","0x0857",2135,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_STARTING_CYCLE","0x0858",2136,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_EFFECT","0x0859",2137,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_9_GREEN_LEAD_GROUP","0x085A",2138,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_INTENSITY","0x085B",2139,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_CYCLES_ON","0x085C",2140,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_CYCLES_OFF","0x085D",2141,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_STARTING_CYCLE","0x085E",2142,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_EFFECT","0x085F",2143,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_9_BLUE_LEAD_GROUP","0x0860",2144,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_DESCRIPTION","0x0861",2145,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_INTENSITY","0x0876",2166,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_CYCLES_ON","0x0877",2167,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_CYCLES_OFF","0x0878",2168,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_STARTING_CYCLE","0x0879",2169,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_EFFECT","0x087A",2170,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_10_RED_LEAD_GROUP","0x087B",2171,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_INTENSITY","0x087C",2172,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_CYCLES_ON","0x087D",2173,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_CYCLES_OFF","0x087E",2174,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_STARTING_CYCLE","0x087F",2175,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_EFFECT","0x0880",2176,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_10_GREEN_LEAD_GROUP","0x0881",2177,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_INTENSITY","0x0882",2178,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_CYCLES_ON","0x0883",2179,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_CYCLES_OFF","0x0884",2180,"5","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_STARTING_CYCLE","0x0885",2181,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_EFFECT","0x0886",2182,"1","int"
"STRINGS_STRING_3_NEO_PIXELS_10_BLUE_LEAD_GROUP","0x0887",2183,"0","int"
"STRINGS_STRING_3_NEO_PIXELS_11_DESCRIPTION","0x0888",2184,"""","string"
"STRINGS_STRING_3_NEO_PIXELS_11_RED_LEAD_INTENSITY","0x089D",2205,"100","int"
"STRINGS_STRING_3_NEO_PIXELS_11_RED_LEAD_CYCLES_ON","0x089E",2206,"5","int"
